,Ticker,Denominação social,Nome de pregão,CNPJ
,HBTS6,Habitasul,CIA HABITASUL DE PARTICIPACOES,87762563000103
,HETA3,Hercules,HERCULES S.A. FABRICA DE TALHERES,92749225000163
,HETA4,Hercules,HERCULES S.A. FABRICA DE TALHERES,92749225000163
,HMOB3,Hmobi S/A,HMOBI PARTICIPAÇÕES S.A.,40159947000164
,HOOT3,Hoteis Othon,HOTEIS OTHON S.A.,33200049000147
,HOOT4,Hoteis Othon,HOTEIS OTHON S.A.,33200049000147
,HYPE3,Hypera,HYPERA S.A.,02932074000191
,IFCM3,Infracomm,NFRACOMMERCE CXAAS S.A.,38456921000136
,IGBR3,IGB S/A,IGB ELETRÔNICA S/A,43185362000107
,IGSN3,Igua SA,IGUA SANEAMENTO S.A.,08159965000133
,IGTI11,Iguatemi SA,JEREISSATI PARTICIPACOES S.A.,60543816000193
,IGTI3,Iguatemi SA,JEREISSATI PARTICIPACOES S.A.,60543816000193
,IGTI4,Iguatemi SA,JEREISSATI PARTICIPACOES S.A.,60543816000193
,INEP3,Inepar,INEPAR S.A. INDUSTRIA E CONSTRUCOES,76627504000106
,INEP4,Inepar,INEPAR S.A. INDUSTRIA E CONSTRUCOES,76627504000106
,INNT3,Inter SA,INTER CONSTRUTORA E INCORPORADORA S.A.,09611768000176
,INTB3,Intelbras,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,82901000000127
,IRBR3,Irbbrasil Re,IRB – BRASIL RESSEGUROS S.A.,33376989000191
,ITSA3,Itausa,ITAUSA S.A.,61532644000115
,ITSA4,Itausa,ITAUSA S.A.,61532644000115
,ITUB3,ItauUnibanco,ITAU UNIBANCO HOLDING S.A.,60872504000123
,ITUB4,ItauUnibanco,ITAU UNIBANCO HOLDING S.A.,60872504000123
,IVPR3B,Invepar,INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR,03758318000124
,IVPR4B,Invepar,INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR,03758318000124
,JALL3,Jallesmachad,JALLES MACHADO S.A.,02635522000195
,JBSS3,JBS,JBS S.A.,02916265000160
,JFEN3,JOAO FORTES,JOAO FORTES ENGENHARIA S.A.,33035536000100
,JHSF3,JHSF Part,JHSF PARTICIPACOES S.A.,08294224000165
,JOPA3,Josapar,JOSAPAR-JOAQUIM OLIVEIRA S.A. – PARTICIP,87456562000122
,JOPA4,Josapar,JOSAPAR-JOAQUIM OLIVEIRA S.A. – PARTICIP,87456562000122
,JSLG3,JSL,JSL S.A.,52548435000179
,KEPL3,Kepler Weber,KEPLER WEBER S.A.,91983056000169
,KLAS3,Kallas,KALLAS INCORPORACOES E CONSTRUCOES S.A.,09146451000106
,KLBN11,Klabin S/A,KLABIN S.A.,89637490000145
,KLBN3,Klabin S/A,KLABIN S.A.,89637490000145
,KLBN4,Klabin S/A,KLABIN S.A.,89637490000145
,KRSA3,Kora Saude,KORA SAÚDE PARTICIPAÇÕES S.A,13270520000166
,LAND3,Terrasantapa,TERRA SANTA PROPRIEDADES AGRICOLAS S.A.,40337136000106
,LAVV3,Lavvi,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,26462693000128
,LEVE3,Metal Leve,MAHLE-METAL LEVE S.A.,60476884000187
,LIGT3,Light S/A,LIGHT S.A.,03378521000175
,LIPR3,Eletropar,ELETROBRÁS PARTICIPAÇÕES S.A. – ELETROPAR,01104937000170
,LJQQ3,Quero-Quero,LOJAS QUERO-QUERO S/A,96418264021802
,LLBI3,Le Biscuit,LOJAS LE BISCUIT S.A.,16233389000155
,LLBI4,Le Biscuit,LOJAS LE BISCUIT S.A.,16233389000155
,LMED3,Lifemed,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,02357251000153
,LOGG3,Log Com Prop,LOG COMMERCIAL PROPERTIES,09041168000110
,LOGN3,Log-In,LOG-IN LOGISTICA INTERMODAL S.A.,42278291000124
,LPSB3,Lopes Brasil,LPS BRASIL – CONSULTORIA DE IMOVEIS S.A.,08078847000109
,LREN3,Lojas Renner,LOJAS RENNER S.A.,92754738000162
,LTEL3B,Litel,LITEL PARTICIPACOES S.A.,00743065000127
,LTLA3B,Litela,LITELA PARTICIPAÇÕES S.A.,05495546000184
,LUPA3,Lupatech,LUPATECH S.A.,89463822000112
,LUXM3,Trevisa,TREVISA INVESTIMENTOS S.A.,92660570000126
,LUXM4,Trevisa,TREVISA INVESTIMENTOS S.A.,92660570000126
,LVTC3,Wdc Networks,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A,05917486000140
,LWSA3,Locaweb,LOCAWEB SERVIÇOS DE INTERNET S.A.,02351877000152
,MAPT3,Cemepe,CEMEPE INVESTIMENTOS S.A.,93828986000173
,MAPT4,Cemepe,CEMEPE INVESTIMENTOS S.A.,93828986000173
,MATD3,Mater Dei,HOSPITAL MATER DEI AS,16676520000159
,MBLY3,Mobly,Mobly S.A.,31553627000101
,MDIA3,M.Diasbranco,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07206816000115
,MDNE3,Moura Dubeux,MOURA DUBEUX ENGENHARIA S/A,12049631000184
,MEAL3,Imc S/A,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17314329000120
,MEGA3,Omegaenergia,OMEGA ENERGIA S.A.,42500384000151
,MELK3,Melnick,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,12181987000177
,MERC3,Merc Financ,MERCANTIL BRASIL FINANC S.A. C.F.I.,33040601000187
,MERC4,Merc Financ,MERCANTIL BRASIL FINANC S.A. C.F.I.,33040601000187
,MGEL3,Mangels Indl,MANGELS INDUSTRIAL S.A.,61065298000102
,MGEL4,Mangels Indl,MANGELS INDUSTRIAL S.A.,61065298000102
,MGLU3,Magaz Luiza,MAGAZINE LUIZA S.A.,47960950000121
,MILS3,Mills,MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,27093558000115
,MLAS3,Multilaser,MULTILASER INDUSTRIAL S.A.,59717553000102
,MMAQ3,Minasmaquina,MINASMAQUINAS S.A.,17161241000115
,MMAQ4,Minasmaquina,MINASMAQUINAS S.A.,17161241000115
,MNDL3,Mundial,MUNDIAL S.A. – PRODUTOS DE CONSUMO,88610191000154
,MNPR3,Minupar,MINUPAR PARTICIPACOES S.A.,90076886000140
,MNZC3B,Menezes Cort,TERMINAL GARAGEM MENEZES CORTES S.A.,02664042000152
,MOAR3,Mont Aranha,MONTEIRO ARANHA S.A.,33102476000192
,MODL3,Modalmais,BANCO MODAL S.A,30723886000162
,MOVI3,Movida,MOVIDA PARTICIPACOES SA,21314559000166
,MRFG3,Marfrig,MARFRIG GLOBAL FOODS S.A.,03853896000140
,MRSA3B,Mrs Logist,MRS LOGISTICA S.A.,01417222000177
,MRSA5B,Mrs Logist,MRS LOGISTICA S.A.,01417222000177
,MRSA6B,Mrs Logist,MRS LOGISTICA S.A.,01417222000177
,MRVE3,MRV,MRV ENGENHARIA E PARTICIPACOES S.A.,08343492000120
,MSPA3,Melhor SP,CIA MELHORAMENTOS DE SAO PAULO,60730348000166
,MSPA4,Melhor SP,CIA MELHORAMENTOS DE SAO PAULO,60730348000166
,MSRO3,Maestroloc,MAESTRO LOCADORA DE VEICULOS S.A.,08795211000170
,MTRE3,Mitre Realty,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,07882930000165
,MTSA3,Metisa,METISA METALURGICA TIMBOENSE S.A.,86375425000109
,MTSA4,Metisa,METISA METALURGICA TIMBOENSE S.A.,86375425000109
,MULT3,Multiplan,MULTIPLAN – EMPREEND IMOBILIARIOS S.A.,07816890000153
,MWET3,Wetzel S/A,WETZEL S.A.,84683671000194
,MWET4,Wetzel S/A,WETZEL S.A.,84683671000194
,MYPK3,Iochp-Maxion,IOCHPE MAXION S.A.,61156113000175
,NEMO3,Suzano Hold,SUZANO HOLDING S.A.,60651809000105
,NEMO5,Suzano Hold,SUZANO HOLDING S.A.,60651809000105
,NEMO6,Suzano Hold,SUZANO HOLDING S.A.,60651809000105
,NEOE3,Neoenergia,NEOENERGIA S.A.,01083200000118
,NEXP3,NEXPE,NEXPE PARTICIPAÇÕES S.A,08613550000198
,NGRD3,Neogrid,NEOGRID PARTICIPACOES S.A.,10139870000108
,NINJ3,Getninjas,GETNINJAS S.A.,14127813000151
,NORD3,Nordon Met,NORDON INDUSTRIAS METALURGICAS S.A.,60884319000159
,NRTQ3,Nortcquimica,NORTEC QUÍMICA S.A.,29950060000157
,NTCO3,Grupo Natura,NATURA &CO HOLDING S.A.,32785497000197
,NUBR33,NU-NUBANK,NU HOLDINGS LTD,24410913000144
,NUTR3,Nutriplant,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51128999000190
,ODER3,Oderich,CONSERVAS ODERICH S.A.,97191902000194
,ODER4,Oderich,CONSERVAS ODERICH S.A.,97191902000194
,ODPV3,Odontoprev,ODONTOPREV S.A.,58119199000151
,OFSA3,Ourofino S/A,OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,20258278000170
,OIBR3,Oi,OI S.A.,76535764000143
,OIBR4,Oi,OI S.A.,76535764000143
,ONCO3,Oncoclinicas,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,12104241000402
,OPCT3,Oceanpact,OCEANPACT SERVICOS MARITIMOS S.A.,09114805000130
,OPGM3B,Gama Part,GAMA PARTICIPACOES S.A.,02796775000140
,OPSE3B,Sudeste S/A,SUDESTE S.A.,02062747000108
,OPTS3B,Sul 116 Part,SUL 116 PARTICIPACOES S.A.,01957772000189
,ORVR3,Orizon,ORIZON VALORIZACAO DE RESIDUOS S.A.,11421994000136
,OSXB3,OSX Brasil,OSX BRASIL S.A.,09112685000132
,PARD3,Ihpardini,INSTITUTO HERMES PARDINI S.A.,19378769000176
,PASS3,Compass Gas,COMPASS GÁS E ENERGIA S.A.,21389501000181
,PASS6,Compass Gas,COMPASS GÁS E ENERGIA S.A.,21389501000181
,PATI3,Panatlantica,PANATLANTICA S.A.,92693019000189
,PATI4,Panatlantica,PANATLANTICA S.A.,92693019000189
,PCAR3,P.Acucar-Cbd,CIA BRASILEIRA DE DISTRIBUICAO,47508411000156
,PDGR3,PDG Realt,PDG REALTY S.A. EMPREEND E PARTICIPACOES,02950811000189
,PDTC3,Padtec,PADTEC HOLDING S.A.,02365069000144
,PEAB3,Par Al Bahia,CIA PARTICIPACOES ALIANCA DA BAHIA,01938783000111
,PEAB4,Par Al Bahia,CIA PARTICIPACOES ALIANCA DA BAHIA,01938783000111
,PETR3,Petrobras,PETROLEO BRASILEIRO S.A. PETROBRAS,33000167000101
,PETR4,Petrobras,PETROLEO BRASILEIRO S.A. PETROBRAS,33000167000101
,PETZ3,Petz,PET CENTER COMERCIO  E PARTICIPACOES S.A.,18328118000109
,PFRM3,Profarma,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,45453214000151
,PGMN3,Pague Menos,EMPREENDIMENTOS PAGUE MENOS S.A.,06626253000151
,PINE3,Pine,BCO PINE S.A.,62144175000120
,PINE4,Pine,BCO PINE S.A.,62144175000120
,PLAS3,Plascar Part,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,51928174000150
,PLPL3,Planoeplano,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,24230275000180
,PMAM3,Paranapanema,PARANAPANEMA S.A.,60398369000126
,PNVL3,Dimed,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92665611000177
,POMO3,Marcopolo,MARCOPOLO S.A.,88611835000129
,POMO4,Marcopolo,MARCOPOLO S.A.,88611835000129
,PORT3,Wilson Sons,WILSON SONS HOLDINGS BRASIL S.A.,33130691000105
,POSI3,Positivo Tec,POSITIVO TECNOLOGIA S.A.,81243735000148
,PPAR3,Polpar,POLPAR S.A.,59789545000171
,PPLA11,Ppla,PPLA PARTICIPATIONS LTD.,15073274000188
,PRIO3,Petrorio,PETRO RIO S.A.,10629105000168
,PRNR3,Priner,PRINER SERVIÇOS INDUSTRIAIS S.A.,18593815000197
,PRPT3B,Prompt Part,PROMPT PARTICIPACOES S.A.,02992449000109
,PSSA3,Porto Seguro,PORTO SEGURO S.A.,02149205000169
,PTBL3,Portobello,PBG S/A,83475913000191
,PTCA11,Pratica,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,08574411000100
,PTCA3,Pratica,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,08574411000100
,PTNT3,Pettenati,PETTENATI S.A. INDUSTRIA TEXTIL,88613658000110
,PTNT4,Pettenati,PETTENATI S.A. INDUSTRIA TEXTIL,88613658000110
,QUAL3,Qualicorp,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11992680000193
,QUSW3,Quality Soft,QUALITY SOFTWARE S.A.,35791391000194
,QVQP3B,524 Particip,524 PARTICIPACOES S.A.,01851771000155
,RADL3,RaiaDrogasil,RAIA DROGASIL S.A.,61585865000151
,RAIL3,Rumo S.A.,RUMO S.A.,02387241000160
,RAIZ4,Raizen,RAIZEN S.A.,33453598000123
,RANI3,Irani,IRANI PAPEL E EMBALAGEM S.A.,92791243000103
,RAPT3,Randon Part,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89086144000116
,RAPT4,Randon Part,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89086144000116
,RBNS11,Rodobens,RODOBENS S.A,59981829000165
,RCSL3,Recrusul,RECRUSUL S.A.,91333666000117
,RCSL4,Recrusul,RECRUSUL S.A.,91333666000117
,RDNI3,Rni,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,67010660000124
,RDOR3,Rede D Or,Rede DOr São Luiz S.A.,06047087000139
,RECV3,Petrorecsa,PETRORECÔNCAVO S.A.,03342704000130
,REDE3,Rede Energia,REDE ENERGIA PARTICIPAÇÕES S.A.,61584140000149
,RENT3,Localiza,LOCALIZA RENT A CAR S.A.,16670085000155
,RNEW11,Renova,RENOVA ENERGIA S.A.,08534605000174
,RNEW3,Renova,RENOVA ENERGIA S.A.,08534605000174
,RNEW4,Renova,RENOVA ENERGIA S.A.,08534605000174
,ROMI3,Inds Romi,INDUSTRIAS ROMI S.A.,56720428000163
,RPAD3,Alfa Holding,ALFA HOLDINGS S.A.,17167396000169
,RPAD5,Alfa Holding,ALFA HOLDINGS S.A.,17167396000169
,RPAD6,Alfa Holding,ALFA HOLDINGS S.A.,17167396000169
,RPMG3,Pet Manguinh,REFINARIA DE PETROLEOS MANGUINHOS S.A.,33412081000196
,RRRP3,3r Petroleum,3R PETROLEUM ÓLEO E GÁS S.A,12091809000155
,RSID3,Rossi Resid,ROSSI RESIDENCIAL S.A.,61065751000180
,RSUL3,Riosulense,METALURGICA RIOSULENSE S.A.,85778074000106
,RSUL4,Riosulense,METALURGICA RIOSULENSE S.A.,85778074000106
,SANB11,Santander BR,BCO SANTANDER (BRASIL) S.A.,90400888000142
,SANB3,Santander BR,BCO SANTANDER (BRASIL) S.A.,90400888000142
,SANB4,Santander BR,BCO SANTANDER (BRASIL) S.A.,90400888000142
,SANB99,Santander BR,BCO SANTANDER (BRASIL) S.A.,90400888000142
,SAPR11,Sanepar,CIA SANEAMENTO DO PARANA – SANEPAR,76484013000145
,SAPR3,Sanepar,CIA SANEAMENTO DO PARANA – SANEPAR,76484013000145
,SAPR4,Sanepar,CIA SANEAMENTO DO PARANA – SANEPAR,76484013000145
,SBFG3,Grupo Sbf,GRUPO SBF SA,13217485000111
,SBSP3,Sabesp,CIA SANEAMENTO BASICO EST SAO PAULO,43776517000180
,SCAR3,Sao Carlos,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,29780061000109
,SEER3,Ser Educa,SER EDUCACIONAL S.A.,04986320000113
,SEQL3,Sequoia Log,SEQUOIA LOGISTICA E TRANSPORTES S.A,01599101000193
,SGPS3,Springs,SPRINGS GLOBAL PARTICIPACOES S.A.,07718269000157
,SHOW3,Time For Fun,T4F ENTRETENIMENTO S.A.,02860694000162
,SHUL3,Schulz,SCHULZ S.A.,84693183000168
,SHUL4,Schulz,SCHULZ S.A.,84693183000168
,SIMH3,Simpar,SIMPAR S.A.,07415333000120
,SLCE3,SLC Agricola,SLC AGRICOLA S.A.,89096457000155
,SLED3,Saraiva Livr,SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL,60500139000126
,SLED4,Saraiva Livr,SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL,60500139000126
,SMFT3,Smart Fit,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07594978000178
,SMTO3,Sao Martinho,SAO MARTINHO S.A.,51466860000156
,SNSY3,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,14807945000124
,SNSY5,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,14807945000124
,SNSY6,Sansuy,SANSUY S.A. INDUSTRIA DE PLASTICOS,14807945000124
,SOJA3,Boa Safra,BOA SAFRA SEMENTES S.A.,10807374000177
,SOMA3,Grupo Soma,GRUPO DE MODA SOMA S.A.,10285590000108
,SOND3,Sondotecnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,33386210000119
,SOND5,Sondotecnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,33386210000119
,SOND6,Sondotecnica,SONDOTECNICA ENGENHARIA SOLOS S.A.,33386210000119
,SQIA3,Sinqia,SINQIA S.A.,04065791000199
,STBP3,Santos Brp,SANTOS BRASIL PARTICIPACOES S.A.,02762121000104
,STKF3,Statkraft,STATKRAFT ENERGIAS RENOVAVEIS S.A.,00622416000141
,SUZB3,Suzano S.A.,SUZANO S.A.,16404287000155
,SYNE3,Syn Prop Tec,SYN PROP E TECH S.A.,08801621000186
,TAEE11,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07859971000130
,TAEE3,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07859971000130
,TAEE4,Taesa,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07859971000130
,TASA3,Taurus Armas,TAURUS ARMAS S.A.,92781335000102
,TASA4,Taurus Armas,TAURUS ARMAS S.A.,92781335000102
,TCNO3,Tecnosolo,TECNOSOLO ENGENHARIA S.A.,33111246000190
,TCNO4,Tecnosolo,TECNOSOLO ENGENHARIA S.A.,33111246000190
,TCSA3,Tecnisa,TECNISA S.A.,08065557000112
,TECN3,Technos,TECHNOS S.A.,09295063000197
,TEGA3,Tegra Incorp,TEGRA INCORPORADORA S.A.,30213493000109
,TEKA3,Teka,TEKA-TECELAGEM KUEHNRICH S.A.,82636986000155
,TEKA4,Teka,TEKA-TECELAGEM KUEHNRICH S.A.,82636986000155
,TELB3,Telebras,TELEC BRASILEIRAS S.A. TELEBRAS,00336701000104
,TELB4,Telebras,TELEC BRASILEIRAS S.A. TELEBRAS,00336701000104
,TEND3,Tenda,CONSTRUTORA TENDA S.A.,71476527000135
,TFCO4,Track Field,TRACK & FIELD CO S.A.,59418806000147
,TGMA3,Tegma,TEGMA GESTAO LOGISTICA S.A.,02351144000118
,TIMS3,Tim,TIM S.A.,02421421000111
,TKNO3,Tekno,TEKNO S.A. – INDUSTRIA E COMERCIO,33467572000134
,TKNO4,Tekno,TEKNO S.A. – INDUSTRIA E COMERCIO,33467572000134
,TOTS3,Totvs,TOTVS S.A.,53113791000122
,TPIS3,Triunfo Part,TPI – TRIUNFO PARTICIP. E INVEST. S.A.,03014553000191
,TRAD3,Tc,TC TRADERS CLUB S.A.,26345998000150
,TRIS3,Trisul,TRISUL S.A.,08811643000127
,TRPL3,Tran Paulist,CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02998611000104
,TRPL4,Tran Paulist,CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02998611000104
,TTEN3,3tentos,TRÊS TENTOS AGROINDUSTRIAL SA,94813102000170
,TUPY3,Tupy,TUPY S.A.,84683374000149
,TXRX3,Tex Renaux,TEXTIL RENAUXVIEW S.A.,82982075000180
,TXRX4,Tex Renaux,TEXTIL RENAUXVIEW S.A.,82982075000180
,UCAS3,Unicasa,UNICASA INDÚSTRIA DE MÓVEIS S.A.,90441460000148
,UGPA3,Ultrapar,ULTRAPAR PARTICIPACOES S.A.,33256439000139
,UNIP3,Unipar,UNIPAR CARBOCLORO S.A.,33958695000178
,UNIP5,Unipar,UNIPAR CARBOCLORO S.A.,33958695000178
,UNIP6,Unipar,UNIPAR CARBOCLORO S.A.,33958695000178
,UPKP3B,Uptick,UPTICK PARTICIPACOES S.A.,02162616000194
,USIM3,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60894730000105
,USIM5,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60894730000105
,USIM6,Usiminas,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60894730000105
,VALE3,Vale,VALE S.A.,33592510000154
,VAMO3,Vamos,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A.",23373000000132
,VBBR3,Vibra,VIBRA ENERGIA S.A.,34274233000102
,VIIA3,Via,VIA S.A,33041260065290
,VITT3,Vittia,VITTIA FERTILIZANTES E BIOLOGICOS S.A.,45365558000109
,VIVA3,Vivara S.A.,VIVARA PARTICIPAÇOES S.A,33839910000111
,VIVR3,Viver,VIVER INCORPORADORA E CONSTRUTORA S.A.,67571414000141
,VIVT3,Telef Brasil,TELEFÔNICA BRASIL S.A,02558157000162
,VLID3,Valid,VALID SOLUÇÕES S.A.,33113309000147
,VSTE3,VESTE,VESTE S.A. ESTILO,49669856000143
,VULC3,Vulcabras,VULCABRAS/AZALEIA S.A.,50926955000142
,VVEO3,Viveo,CM HOSPITALAR S.A.,12420164000157
,WEGE3,Weg,WEG S.A.,84429695000111
,WEST3,Westwing,WESTWING COMERCIO VAREJISTA S.A.,14776142000150
,WHRL3,Whirlpool,WHIRLPOOL S.A.,59105999000186
,WHRL4,Whirlpool,WHIRLPOOL S.A.,59105999000186
,WIZC3,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,42278473000103
,WLMM3,Wlm Ind Com,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33228024000151
,WLMM4,Wlm Ind Com,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33228024000151
,YBRA3B,Ybyra S/A,YBRA3 TENNOLOGIA LTDA,02217319000107
,YDUQ3,Yduqs Part,YDUQS PARTICIPACOES S.A.,08807432000110
,ZAMP3,ZAMP S.A.,ZAMP S.A.,13574594000196
